ID UPAKOVKA;MXIK;DATA;INN DISTRIBUTOR;INN KONTRAGENT;KOL-VO;PRICE;PRICE TYPE
AAAD796850;03004217005001005;19.02.2024;309159499;303821835;6;9540;UZS
AAAD796851;03004217005001005;21.02.2024;309159499;310357665;15;9826;UZS
AAAD796852;03004217005001005;22.02.2024;309159499;300965025;20;9540;UZS
AAAD796853;03004217005001005;22.02.2024;309159499;308896382;20;9540;UZS
AAAD796854;03004217005001005;22.02.2024;309159499;302825545;3;9540;UZS
AAAD796855;03004217005001005;22.02.2024;309159499;310513993;2;9540;UZS
AAAD796856;03004217005001005;27.02.2024;309159499;307974871;10;9540;UZS
AAAD796857;03004217005001005;27.02.2024;309159499;305168087;20;9540;UZS
AAAD796858;03004217005001005;29.02.2024;309159499;303385208;90;9356;UZS
AAAD796859;03004217005001005;04.03.2024;309159499;308491563;5;9630;UZS
AAAD796860;03004217005001005;11.03.2024;309159499;307391958;20;9630;UZS
AAAD796861;03004217005001005;12.03.2024;309159499;310614464;5;9630;UZS
AAAD796862;03004217005001005;12.03.2024;309159499;303048902;60;9630;UZS
AAAD796863;03004217005001005;13.03.2024;309159499;303142708;20;9630;UZS
AAAD796864;03004217005001005;15.03.2024;309159499;308850574;2;9630;UZS
AAAD796865;03004217005001005;18.03.2024;309159499;310925805;10;9630;UZS
AAAD796866;03004217005001005;18.03.2024;309159499;201077404;10;9630;UZS
AAAD796867;03004217005001005;19.03.2024;309159499;309311674;10;9630;UZS
AAAD796868;03004217005001005;20.03.2024;309159499;308850574;5;9630;UZS
AAAD796869;03004217005001005;22.03.2024;309159499;302373491;10;9630;UZS
AAAD796870;03004217005001005;25.03.2024;309159499;303142708;5;9630;UZS
AAAD796871;03004217005001005;28.03.2024;309159499;207089829;20;9630;UZS
AAAD796872;03004217005001005;29.03.2024;309159499;310793228;5;9630;UZS
AAAD796873;03004217005001005;01.04.2024;309159499;303126702;3;10785,6;UZS
AAAD796874;03004217005001005;02.04.2024;309159499;308850574;5;10785,6;UZS
AAAD796875;03004217005001005;13.04.2024;309159499;309930560;10;10684,8;UZS
AAAD796876;03004217005001005;17.04.2024;309159499;307738602;10;11005,12;UZS
