ID UPAKOVKA;MXIK;DATA;INN DISTRIBUTOR;INN KONTRAGENT;KOL-VO;PRICE;PRICE TYPE
AAAD945417;03004419007002002;30.03.2024;305092437;205126427;6;30830,7867;UZS
AAAD945418;03004419007002002;02.04.2024;305092437;307665931;5;33901,996;UZS
AAAD945419;03004419007002002;02.04.2024;305092437;307668491;2;33901,995;UZS
AAAD945420;03004419007002002;03.04.2024;305092437;302926238;10;33901,997;UZS
AAAD945421;03004419007002002;03.04.2024;305092437;310839911;5;33901,996;UZS
AAAD945422;03004419007002002;03.04.2024;305092437;201390429;30;33901,9967;UZS
AAAD945423;03004419007002002;05.04.2024;305092437;308493308;5;33901,996;UZS
AAAD945424;03004419007002002;05.04.2024;305092437;303225784;3;33901,9967;UZS
AAAD945425;03004419007002002;05.04.2024;305092437;310453167;2;33901,995;UZS
AAAD945426;03004419007002002;06.04.2024;305092437;305719373;4;33901,9975;UZS
AAAD945427;03004419007002002;06.04.2024;305092437;305474775;10;33901,997;UZS
AAAD945428;03004419007002002;06.04.2024;305092437;305626481;15;33901,9967;UZS
AAAD945429;03004419007002002;08.04.2024;305092437;310952812;5;33901,996;UZS
AAAD945430;03004419007002002;08.04.2024;305092437;308010203;3;33901,9967;UZS
AAAD945431;03004419007002002;09.04.2024;305092437;200673352;200;33901,9968;UZS
AAAD945432;03004419007002002;11.04.2024;305092437;305090448;10;33901,997;UZS
AAAD945433;03004419007002002;11.04.2024;305092437;308242603;10;33901,997;UZS
AAAD945434;03004419007002002;11.04.2024;305092437;303155176;2;33901,995;UZS
AAAD945435;03004419007002002;11.04.2024;305092437;302352914;10;33901,997;UZS
AAAD945436;03004419007002002;11.04.2024;305092437;205126427;63;32545,9121;UZS
AAAD945437;03004419007002002;11.04.2024;305092437;305626481;60;33901,9968;UZS
AAAD945438;03004419007002002;12.04.2024;305092437;301563913;120;33901,9968;UZS
AAAD945439;03004419007002002;12.04.2024;305092437;205126427;43;32545,9121;UZS
AAAD945440;03004419007002002;13.04.2024;305092437;304972251;900;33901,9968;UZS
AAAD945441;03004419007002002;13.04.2024;305092437;200672156;1;33902;UZS
AAAD945442;03004419007002002;13.04.2024;305092437;205137001;300;33901,9968;UZS
AAAD945443;03004419007002002;13.04.2024;305092437;205137001;100;33901,9968;UZS
AAAD945444;03004419007002002;15.04.2024;305092437;307013247;10;33901,997;UZS
AAAD945445;03004419007002002;15.04.2024;305092437;305256681;5;33901,996;UZS
AAAD945446;03004419007002002;16.04.2024;305092437;302962638;20;33901,997;UZS
AAAD945447;03004419007002002;16.04.2024;305092437;302735744;10;32545,912;UZS
AAAD945448;03004419007002002;16.04.2024;305092437;310303036;5;33901,996;UZS
AAAD945449;03004419007002002;17.04.2024;305092437;302735744;20;32545,912;UZS
AAAD945450;03004419007002002;17.04.2024;305092437;305621591;40;33901,9968;UZS
AAAD945451;03004419007002002;17.04.2024;305092437;310853974;3;33901,9967;UZS
AAAD945452;03004419007002002;17.04.2024;305092437;303350837;5;33901,996;UZS
AAAD945453;03004419007002002;17.04.2024;305092437;310839911;3;33901,9967;UZS
AAAD945454;03004419007002002;18.04.2024;305092437;305626481;60;33901,9968;UZS
AAAD945455;03004419007002002;18.04.2024;305092437;301563913;60;33901,9968;UZS
AAAD945456;03004419007002002;19.04.2024;305092437;301289518;50;33223,96;UZS
AAAD945457;03004419007002002;19.04.2024;305092437;200719640;3;33901,9967;UZS
AAAD945458;03004419007002002;19.04.2024;305092437;303773555;80;33901,9968;UZS
AAAD945459;03004419007002002;19.04.2024;305092437;305183670;4;33901,9975;UZS
AAAD945460;03004419007002002;19.04.2024;305092437;310262319;2;32884,935;UZS
AAAD945461;03004419007002002;19.04.2024;305092437;308242603;20;33902,4;UZS
AAAD945462;03004419007002002;20.04.2024;305092437;201081203;10;33901,997;UZS
AAAD945463;03004419007002002;20.04.2024;305092437;305736535;4;33901,9975;UZS
AAAD945464;03004419007002002;20.04.2024;305092437;309487369;5;33901,996;UZS
AAAD945465;03004419007002002;22.04.2024;305092437;305460453;10;33901,997;UZS
AAAD945466;03004419007002002;22.04.2024;305092437;305460453;5;33901,996;UZS
AAAD945467;03004419007002002;22.04.2024;305092437;304612588;200;32884,936;UZS
AAAD945468;03004419007002002;22.04.2024;305092437;310886404;2;33901,995;UZS
AAAD945469;03004419007002002;22.04.2024;305092437;300510361;10;33901,997;UZS
AAAD945470;03004419007002002;22.04.2024;305092437;305297631;20;33901,997;UZS
AAAD945471;03004419007002002;22.04.2024;305092437;305160447;5;33901,996;UZS
AAAD945472;03004419007002002;22.04.2024;305092437;305160447;15;33901,9967;UZS
AAAD945473;03004419007002002;23.04.2024;305092437;309290267;3;33901,9967;UZS
AAAD945474;03004419007002002;23.04.2024;305092437;302926238;10;33901,997;UZS
AAAD945475;03004419007002002;24.04.2024;305092437;201041655;10;32545,912;UZS
AAAD945476;03004419007002002;24.04.2024;305092437;307670942;10;33901,997;UZS
AAAD945477;03004419007002002;24.04.2024;305092437;200351714;10;33901,997;UZS
AAAD945478;03004419007002002;24.04.2024;305092437;205126427;60;32545,912;UZS
AAAD945479;03004419007002002;25.04.2024;305092437;205126427;1;32545,91;UZS
AAAD945480;03004419007002002;25.04.2024;305092437;205126427;26;32545,9119;UZS
AAAD945481;03004419007002002;25.04.2024;305092437;204276051;180;33901,9968;UZS
AAAD945482;03004419007002002;25.04.2024;305092437;305626481;38;33901,9968;UZS
AAAD945483;03004419007002002;26.04.2024;305092437;205323830;5;33901,996;UZS
AAAD945484;03004419007002002;27.04.2024;305092437;310777998;5;33901,996;UZS
AAAD945485;03004419007002002;27.04.2024;305092437;307665931;6;33901,9967;UZS
AAAD945486;03004419007002002;29.04.2024;305092437;303773555;100;33901,9968;UZS
AAAD945487;03004419007002002;30.04.2024;305092437;305256681;5;33901,996;UZS
AAAD945488;03004419007002002;01.05.2024;305092437;300021259;20;33901,997;UZS
AAAD945489;03004419007002002;04.05.2024;305092437;305325438;5;34664,996;UZS
AAAD945490;03004419007002002;04.05.2024;305092437;205006948;290;33901,9968;UZS
AAAD945491;03004419007002002;10.05.2024;305092437;305865336;56;35637;UZS
AAAD945492;03004419007002002;10.05.2024;305092437;307559818;2;35637;UZS
AAAD945493;03004419007002002;13.05.2024;305092437;200000034;10;35280;UZS
AAAD945494;03004419007002002;14.05.2024;305092437;306231554;10;35280;UZS
AAAD945495;03004419007002002;14.05.2024;305092437;305090448;13;35280;UZS
AAAD945496;03004419007002002;14.05.2024;305092437;201081203;22;35280;UZS
AAAD945497;03004419007002002;15.05.2024;305092437;302230044;5;35280;UZS
AAAD945498;03004419007002002;15.05.2024;305092437;310159129;10;35280;UZS
AAAD945499;03004419007002002;15.05.2024;305092437;302962638;10;35280;UZS
AAAD945500;03004419007002002;15.05.2024;305092437;201390429;30;35280;UZS
AAAD945501;03004419007002002;15.05.2024;305092437;201533858;10;35280;UZS
AAAD945502;03004419007002002;15.05.2024;305092437;305160447;30;35280;UZS
AAAD945503;03004419007002002;15.05.2024;305092437;205137001;210;35280;UZS
AAAD945504;03004419007002002;15.05.2024;305092437;308812447;5;35280;UZS
AAAD945505;03004419007002002;15.05.2024;305092437;205006948;210;35280;UZS
AAAD945506;03004419007002002;15.05.2024;305092437;205006948;210;35280;UZS
AAAD945507;03004419007002002;16.05.2024;305092437;307459768;2;35280;UZS
AAAD945508;03004419007002002;16.05.2024;305092437;307896652;11;35280;UZS
AAAD945509;03004419007002002;16.05.2024;305092437;306996204;200;35280;UZS
AAAD945510;03004419007002002;16.05.2024;305092437;305865336;22;35280;UZS
AAAD945511;03004419007002002;16.05.2024;305092437;300821014;5;35280;UZS
AAAD945512;03004419007002002;16.05.2024;305092437;308456691;210;35280;UZS
AAAD945513;03004419007002002;16.05.2024;305092437;304934187;60;35280;UZS
AAAD945514;03004419007002002;16.05.2024;305092437;300802339;3;35280;UZS
AAAD945515;03004419007002002;17.05.2024;305092437;304650240;6;35280;UZS
AAAD945516;03004419007002002;17.05.2024;305092437;203032704;10;35280;UZS
AAAD945517;03004419007002002;17.05.2024;305092437;204921357;5;35280;UZS
AAAD945518;03004419007002002;17.05.2024;305092437;310839911;4;35280;UZS
AAAD945519;03004419007002002;18.05.2024;305092437;305297631;20;35280;UZS
AAAD945520;03004419007002002;18.05.2024;305092437;309078584;20;35280;UZS
AAAD945521;03004419007002002;18.05.2024;305092437;306703339;5;35280;UZS
AAAD945522;03004419007002002;20.05.2024;305092437;305776067;30;35280;UZS
AAAD945523;03004419007002002;20.05.2024;305092437;302926238;20;35280;UZS
AAAD945524;03004419007002002;20.05.2024;305092437;204902094;10;35280;UZS
AAAD945525;03004419007002002;20.05.2024;305092437;310434625;30;35280;UZS
AAAD945526;03004419007002002;20.05.2024;305092437;305536150;6;35280;UZS
AAAD945527;03004419007002002;20.05.2024;305092437;305160447;30;35280;UZS
AAAD945528;03004419007002002;20.05.2024;305092437;306996204;29;35280;UZS
AAAD945529;03004419007002002;20.05.2024;305092437;305090448;10;35280;UZS
AAAD945530;03004419007002002;21.05.2024;305092437;301768467;2;35280;UZS
AAAD945531;03004419007002002;21.05.2024;305092437;306430078;5;35280;UZS
AAAD945532;03004419007002002;21.05.2024;305092437;304650240;10;35278,783;UZS
AAAD945533;03004419007002002;21.05.2024;305092437;302926238;10;35280;UZS
AAAD945534;03004419007002002;21.05.2024;305092437;309119800;5;35280;UZS
AAAD945535;03004419007002002;21.05.2024;305092437;205006948;210;35280;UZS
AAAD945536;03004419007002002;21.05.2024;305092437;205006948;210;35280;UZS
AAAD945537;03004419007002002;21.05.2024;305092437;205006948;210;35280;UZS
AAAD945538;03004419007002002;22.05.2024;305092437;305621591;50;35280;UZS
AAAD945539;03004419007002002;22.05.2024;305092437;308242603;15;35280;UZS
AAAD945540;03004419007002002;22.05.2024;305092437;303225784;3;35280;UZS
AAAD945541;03004419007002002;22.05.2024;305092437;308644861;4;35280;UZS
AAAD945542;03004419007002002;22.05.2024;305092437;304972251;210;35280;UZS
AAAD945543;03004419007002002;22.05.2024;305092437;304972251;210;35280;UZS
AAAD945544;03004419007002002;22.05.2024;305092437;304972251;210;35280;UZS
AAAD945545;03004419007002002;22.05.2024;305092437;205396424;720;34853,9968;UZS
AAAD945546;03004419007002002;23.05.2024;305092437;305719373;10;35280;UZS
AAAD945547;03004419007002002;23.05.2024;305092437;303350837;14;35280;UZS
AAAD945548;03004419007002002;23.05.2024;305092437;200719640;5;35280;UZS
AAAD945549;03004419007002002;23.05.2024;305092437;302926238;15;35280;UZS
AAAD945550;03004419007002002;23.05.2024;305092437;308456691;210;35280;UZS
AAAD945551;03004419007002002;23.05.2024;305092437;308456691;210;35280;UZS
AAAD945552;03004419007002002;23.05.2024;305092437;308456691;94;35280;UZS
AAAD945553;03004419007002002;23.05.2024;305092437;301563913;180;35280;UZS
AAAD945554;03004419007002002;23.05.2024;305092437;309005935;3;35280;UZS
AAAD945555;03004419007002002;23.05.2024;305092437;304421422;5;35280;UZS
AAAD945556;03004419007002002;24.05.2024;305092437;305626481;120;35280;UZS
AAAD945557;03004419007002002;24.05.2024;305092437;302230044;20;35280;UZS
AAAD945558;03004419007002002;24.05.2024;305092437;308160469;50;35280;UZS
AAAD945559;03004419007002002;24.05.2024;305092437;303862555;2;35280;UZS
AAAD945560;03004419007002002;24.05.2024;305092437;300510361;20;35280;UZS
AAAD945561;03004419007002002;24.05.2024;305092437;205831001;20;35280;UZS
AAAD945562;03004419007002002;24.05.2024;305092437;300021259;10;35280;UZS
AAAD945563;03004419007002002;24.05.2024;305092437;305160447;19;35280;UZS
AAAD945564;03004419007002002;24.05.2024;305092437;305160447;141;35280;UZS
AAAD945565;03004419007002002;24.05.2024;305092437;305865336;52;35280;UZS
AAAD945566;03004419007002002;25.05.2024;305092437;308493308;6;35280;UZS
