ID UPAKOVKA;MXIK;DATA;INN DISTRIBUTOR;INN KONTRAGENT;KOL-VO;PRICE;PRICE TYPE
AAAE145417;03004155003007001;31.05.2024;305092437;305865336;18;88928,9967;UZS
AAAE145418;03004155003007001;02.07.2024;305092437;309269931;1;88929;UZS
AAAE145419;03004155003007001;09.08.2024;305092437;201081203;1;88929;UZS
AAAE145420;03004155003007001;09.08.2024;305092437;202524069;2;88928,995;UZS
AAAE145421;03004155003007001;14.08.2024;305092437;310716692;5;88928,996;UZS
AAAE145422;03004155003007001;24.08.2024;305092437;310696284;6;83654,3;UZS
AAAE145423;03004155003007001;26.08.2024;305092437;201503729;17;81332,8994;UZS
AAAE145424;03004155003007001;04.09.2024;305092437;202559412;5;88928,996;UZS
AAAE145425;03004155003007001;23.09.2024;305092437;305297631;2;84482,55;UZS
AAAE145426;03004155003007001;11.11.2024;305092437;306251578;5;0;UZS
AAAE145427;03004155003007001;11.11.2024;305092437;306251578;20;88928,997;UZS
AAAE145428;03004155003007001;04.12.2024;305092437;309073038;2;88928,995;UZS
AAAE145429;03004155003007001;20.12.2024;305092437;205831001;5;88928,996;UZS
AAAE145430;03004155003007001;26.12.2024;305092437;310716692;5;88928,996;UZS
AAAE145431;03004229001019001;05.01.2024;305092437;309977573;4;34638;UZS
AAAE145432;03004229001019001;06.01.2024;305092437;203032704;5;32906,1;UZS
AAAE145433;03004229001019001;06.01.2024;305092437;200719640;5;34638;UZS
AAAE145434;03004229001019001;06.01.2024;305092437;302719383;3;34638;UZS
AAAE145435;03004229001019001;06.01.2024;305092437;310410727;15;34638;UZS
AAAE145436;03004229001019001;06.01.2024;305092437;308440602;4;34638;UZS
AAAE145437;03004229001019001;09.01.2024;305092437;303845726;6;34638;UZS
AAAE145438;03004229001019001;10.01.2024;305092437;205011182;10;34638;UZS
AAAE145439;03004229001019001;10.01.2024;305092437;306400534;10;34638;UZS
AAAE145440;03004229001019001;11.01.2024;305092437;308040332;8;34638;UZS
AAAE145441;03004229001019001;11.01.2024;305092437;308456691;50;34638;UZS
AAAE145442;03004229001019001;13.01.2024;305092437;304899509;2;34638;UZS
AAAE145443;03004229001019001;15.01.2024;305092437;303758042;1;34638;UZS
AAAE145444;03004229001019001;16.01.2024;305092437;303061509;5;34638;UZS
AAAE145445;03004229001019001;17.01.2024;305092437;308552914;2;34638;UZS
AAAE145446;03004229001019001;17.01.2024;305092437;300892078;2;34638;UZS
AAAE145447;03004229001019001;17.01.2024;305092437;307665931;5;35738,838;UZS
AAAE145448;03004229001019001;17.01.2024;305092437;302056560;2;34638;UZS
AAAE145449;03004229001019001;19.01.2024;305092437;308010203;2;34638;UZS
AAAE145450;03004229001019001;19.01.2024;305092437;302989871;2;34638;UZS
AAAE145451;03004229001019001;19.01.2024;305092437;303773555;100;34638;UZS
AAAE145452;03004229001019001;20.01.2024;305092437;305776067;20;34638;UZS
AAAE145453;03004229001019001;20.01.2024;305092437;200931839;15;34638;UZS
AAAE145454;03004229001019001;20.01.2024;305092437;304981803;3;34638;UZS
AAAE145455;03004229001019001;23.01.2024;305092437;303345826;3;34638;UZS
AAAE145456;03004229001019001;24.01.2024;305092437;303862555;5;34638;UZS
AAAE145457;03004229001019001;25.01.2024;305092437;310633006;5;34638;UZS
AAAE145458;03004229001019001;25.01.2024;305092437;306483581;5;34638;UZS
AAAE145459;03004229001019001;25.01.2024;305092437;303489734;3;34638;UZS
AAAE145460;03004229001019001;25.01.2024;305092437;308456691;20;34638;UZS
AAAE145461;03004229001019001;26.01.2024;305092437;203032704;3;34638;UZS
AAAE145462;03004229001019001;27.01.2024;305092437;309073038;30;35738,84;UZS
AAAE145463;03004229001019001;27.01.2024;305092437;304934187;5;34638;UZS
AAAE145464;03004229001019001;29.01.2024;305092437;303350837;5;33598,86;UZS
AAAE145465;03004229001019001;30.01.2024;305092437;306415744;5;34638;UZS
AAAE145466;03004229001019001;30.01.2024;305092437;302926238;10;34638;UZS
AAAE145467;03004229001019001;30.01.2024;305092437;202559412;10;34638;UZS
AAAE145468;03004229001019001;30.01.2024;305092437;307665931;5;34638;UZS
AAAE145469;03004229001019001;30.01.2024;305092437;308644861;3;34638;UZS
