ID UPAKOVKA;MXIK;DATA;INN DISTRIBUTOR;INN KONTRAGENT;KOL-VO;PRICE;PRICE TYPE
AAAD434001;03004141021001002;16.09.2024;309159499;304289720;10;7441,28;UZS
AAAD434002;03004141021001002;30.09.2024;309159499;303474817;2;7367,36;UZS
AAAD434003;03004141021001002;26.10.2024;309159499;303474817;4;7497,28;UZS
AAAD434004;03004141021001002;04.12.2024;309159499;311056485;10;7572,32;UZS
AAAD434005;03004141021001002;14.12.2024;309159499;311092394;10;7572,32;UZS
AAAD434006;03004141021001002;16.12.2024;309159499;310418343;10;7750,4;UZS
AAAD434007;03004141021001002;17.12.2024;309159499;304374402;10;7572,32;UZS
AAAD434008;03004141021001002;18.12.2024;309159499;303474817;5;7422,24;UZS
AAAD434009;03004141021001002;27.12.2024;309159499;307391958;10;7422,24;UZS
AAAD434010;03004141021001002;28.12.2024;309159499;200943371;5;7572,32;UZS
AAAD434011;03004353001002003;13.09.2024;309159499;303298480;2;48844,32;UZS
AAAD434012;03004353001002003;18.09.2024;309159499;303298480;1;48844,32;UZS
AAAD434013;03004353001002003;19.09.2024;309159499;302858963;2;48844,32;UZS
AAAD434014;03004353001002003;19.09.2024;309159499;303298480;1;48844,32;UZS
AAAD434015;03004353001002003;20.09.2024;309159499;307738602;1;49832,16;UZS
AAAD434016;03004353001002003;23.09.2024;309159499;307738602;1;49832,16;UZS
AAAD434017;03004353001002003;24.09.2024;309159499;307426025;10;48844,32;UZS
AAAD434018;03004353001002003;24.09.2024;309159499;303298480;1;48844,32;UZS
AAAD434019;03004353001002003;27.09.2024;309159499;302858963;1;48844,32;UZS
AAAD434020;03004353001002003;10.10.2024;309159499;302427644;10;49932,96;UZS
AAAD434021;03004353001002003;17.10.2024;309159499;303474817;2;49434,56;UZS
AAAD434022;03004353001002003;20.11.2024;309159499;305168087;2;53081,28;UZS
AAAD434023;03004353001002003;23.11.2024;309159499;303176332;2;53081,28;UZS
AAAD434024;03004353001002003;26.11.2024;309159499;311409400;1;53081,28;UZS
AAAD434025;03004353001002003;17.12.2024;309159499;311409400;1;51488,84;UZS
AAAD434026;03004353001002003;17.12.2024;309159499;303430150;30;50464,96;UZS
AAAD434027;03004353001002003;17.12.2024;309159499;206515488;15;51488,84133;UZS
AAAD434028;03004353001002003;17.12.2024;309159499;301535947;50;51488,8416;UZS
AAAD434029;03004353001002003;18.12.2024;309159499;302938451;115;50464,96;UZS
AAAD434030;03004353001002003;18.12.2024;309159499;304972251;50;50464,96;UZS
AAAD434031;03004353001002003;18.12.2024;309159499;309198245;2;51488,84;UZS
AAAD434032;03004353001002003;18.12.2024;309159499;302488808;200;50464,96;UZS
AAAD434033;03004353001002003;18.12.2024;309159499;305096454;1;51488,84;UZS
AAAD434034;03004353001002003;18.12.2024;309159499;302926238;50;51488,8416;UZS
AAAD434035;03004353001002002;13.09.2024;309159499;205202499;2;133917,28;UZS
AAAD434036;03004353001002002;13.09.2024;309159499;308721687;30;131252,8;UZS
AAAD434037;03004353001002002;13.09.2024;309159499;303298480;5;131252,8;UZS
AAAD434038;03004353001002002;14.09.2024;309159499;305197645;1;133917,28;UZS
AAAD434039;03004353001002002;16.09.2024;309159499;309043003;2;133917,28;UZS
AAAD434040;03004353001002002;16.09.2024;309159499;302938451;6;133917,28;UZS
