ID UPAKOVKA;MXIK;DATA;INN DISTRIBUTOR;INN KONTRAGENT;KOL-VO;PRICE;PRICE TYPE
AAAE045417;03004503006001001;01.02.2024;305092437;306415744;5;152096;UZS
AAAE045418;03004503006001001;05.02.2024;305092437;304269610;3;150311;UZS
AAAE045419;03004503006001001;09.02.2024;305092437;202757371;2;150311;UZS
AAAE045420;03004503006001001;15.02.2024;305092437;304934187;6;150311;UZS
AAAE045421;03004503006001001;17.02.2024;305092437;304935099;2;150311;UZS
AAAE045422;03004503006001001;20.02.2024;305092437;302352914;1;150311;UZS
AAAE045423;03004503006001001;26.02.2024;305092437;202559412;10;148749;UZS
AAAE045424;03004503006001001;26.02.2024;305092437;203339510;2;148749;UZS
AAAE045425;03004503006001001;26.02.2024;305092437;201390429;1;148749;UZS
AAAE045426;03004503006001001;26.02.2024;305092437;202358171;3;150311;UZS
AAAE045427;03004503006001001;26.02.2024;305092437;310850869;3;148749;UZS
AAAE045428;03004503006001001;27.02.2024;305092437;305297631;6;150311;UZS
AAAE045429;03004503006001001;29.02.2024;305092437;301563913;5;148749;UZS
AAAE045430;03004503006001001;01.03.2024;305092437;310297757;40;148749;UZS
AAAE045431;03004503006001001;01.03.2024;305092437;308913645;30;148749;UZS
AAAE045432;03004503006001001;02.03.2024;305092437;305148737;11;143575,12;UZS
AAAE045433;03004503006001001;06.03.2024;305092437;204121459;5;148749;UZS
AAAE045434;03004503006001001;06.03.2024;305092437;202757371;2;148749;UZS
AAAE045435;03004503006001001;06.03.2024;305092437;310453167;2;148749;UZS
AAAE045436;03004503006001001;12.03.2024;305092437;307670942;5;148749;UZS
AAAE045437;03004503006001001;14.03.2024;305092437;305297631;3;148749;UZS
AAAE045438;03004503006001001;14.03.2024;305092437;303845726;6;148749;UZS
AAAE045439;03004503006001001;15.03.2024;305092437;310633006;2;148749;UZS
AAAE045440;03004503006001001;15.03.2024;305092437;310410727;3;148749;UZS
AAAE045441;03004503006001001;15.03.2024;305092437;310850869;2;148749;UZS
AAAE045442;03004503006001001;16.03.2024;305092437;304934187;5;148749;UZS
AAAE045443;03004503006001001;18.03.2024;305092437;310850869;2;148749;UZS
AAAE045444;03004503006001001;18.03.2024;305092437;303461595;34;148812,71;UZS
AAAE045445;03004503006001001;18.03.2024;305092437;309269931;2;148749;UZS
AAAE045446;03004503006001001;19.03.2024;305092437;302488808;78;148749;UZS
AAAE045447;03004503006001001;19.03.2024;305092437;302488808;2;148749;UZS
AAAE045448;03004503006001001;19.03.2024;305092437;202757371;4;148749;UZS
AAAE045449;03004503006001001;20.03.2024;305092437;303461595;4;148749;UZS
AAAE045450;03004503006001001;23.03.2024;305092437;303845726;8;148749;UZS
AAAE045451;03004503006001001;25.03.2024;305092437;304934187;10;148749;UZS
AAAE045452;03004503006001001;25.03.2024;305092437;310850869;4;148749;UZS
AAAE045453;03004503006001001;26.03.2024;305092437;302926238;7;148749;UZS
AAAE045454;03004503006001001;03.04.2024;305092437;305865336;20;170163;UZS
AAAE045455;03004503006001001;04.04.2024;305092437;305160447;10;170163;UZS
AAAE045456;03004503006001001;04.04.2024;305092437;303461595;2;170163;UZS
AAAE045457;03004503006001001;05.04.2024;305092437;306996204;20;170163;UZS
AAAE045458;03004503006001001;05.04.2024;305092437;205137001;20;170163;UZS
AAAE045459;03004503006001001;06.04.2024;305092437;308439926;1;170163;UZS
AAAE045460;03004503006001001;06.04.2024;305092437;308439926;5;164245,1;UZS
AAAE045461;03004503006001001;08.04.2024;305092437;307647794;2;170163;UZS
AAAE045462;03004503006001001;08.04.2024;305092437;303225784;2;170163;UZS
AAAE045463;03004503006001001;08.04.2024;305092437;305160447;20;170163;UZS
AAAE045464;03004503006001001;11.04.2024;305092437;205126427;6;163356,48;UZS
AAAE045465;03004503006001001;11.04.2024;305092437;305160447;10;170163;UZS
AAAE045466;03004503006001001;11.04.2024;305092437;305626481;2;170163;UZS
AAAE045467;03004503006001001;24.04.2024;305092437;308913645;112;181972,997;UZS
AAAE045468;03004503006001001;24.04.2024;305092437;310297757;112;181972,997;UZS
AAAE045469;03004503006001001;25.04.2024;305092437;200332278;1;181972;UZS
AAAE045470;03004503006001001;25.04.2024;305092437;310410727;3;181972;UZS
AAAE045471;03004503006001001;26.04.2024;305092437;205323830;1;170165;UZS
AAAE045472;03004503006001001;29.04.2024;305092437;202496096;1;181972;UZS
AAAE045473;03004503006001001;29.04.2024;305092437;303225784;2;181972;UZS
AAAE045474;03004503006001001;29.04.2024;305092437;309820279;3;181972;UZS
AAAE045475;03004503006001001;30.04.2024;305092437;302735744;2;163358,405;UZS
AAAE045476;03004503006001001;30.04.2024;305092437;309791291;1;170165;UZS
AAAE045477;03004503006001001;01.05.2024;305092437;306231554;3;170165,003;UZS
AAAE045478;03004503006001001;02.05.2024;305092437;302926238;5;181972;UZS
AAAE045479;03004503006001001;02.05.2024;305092437;308456691;25;181972;UZS
AAAE045480;03004503006001001;03.05.2024;305092437;205137001;30;181972;UZS
AAAE045481;03004503006001001;04.05.2024;305092437;205323830;1;170165;UZS
AAAE045482;03004503006001001;04.05.2024;305092437;205004207;1;181972;UZS
AAAE045483;03004503006001001;07.05.2024;305092437;310453167;1;181972;UZS
AAAE045484;03004503006001001;07.05.2024;305092437;202559412;10;181972;UZS
AAAE045485;03004503006001001;07.05.2024;305092437;201081203;1;181972;UZS
AAAE045486;03004503006001001;08.05.2024;305092437;309487369;5;181972;UZS
AAAE045487;03004503006001001;08.05.2024;305092437;303461595;4;181972;UZS
AAAE045488;03004503006001001;08.05.2024;305092437;305626481;10;181972;UZS
AAAE045489;03004503006001001;10.05.2024;305092437;201533858;5;170165,004;UZS
AAAE045490;03004503006001001;10.05.2024;305092437;306996204;20;181972;UZS
AAAE045491;03004503006001001;10.05.2024;305092437;305297631;5;181972;UZS
AAAE045492;03004503006001001;11.05.2024;305092437;305090448;4;181972;UZS
AAAE045493;03004503006001001;13.05.2024;305092437;205126427;2;174693,12;UZS
AAAE045494;03004503006001001;13.05.2024;305092437;302735744;4;163358,408;UZS
AAAE045495;03004503006001001;15.05.2024;305092437;205323830;2;170165,005;UZS
AAAE045496;03004503006001001;15.05.2024;305092437;300829651;1;181972;UZS
AAAE045497;03004503006001001;16.05.2024;305092437;303461595;4;181972;UZS
AAAE045498;03004503006001001;16.05.2024;305092437;303225784;1;181972;UZS
