ID UPAKOVKA;MXIK;DATA;INN DISTRIBUTOR;INN KONTRAGENT;KOL-VO;PRICE;PRICE TYPE
AAAL005875;03004079002012001;15.07.2024;303303592;303881359;1;108208,8;UZS
AAAL005876;03004079002012001;15.07.2024;303303592;306295032;1;108208,8;UZS
AAAL036378;03004233002010002;01.07.2024;303303592;309699183;20;7377,44;UZS
AAAL036379;03004233002010002;02.07.2024;303303592;302979608;15;7377,44;UZS
AAAL036380;03004233002010002;02.07.2024;303303592;309909885;20;7377,44;UZS
AAAL036381;03004233002010002;03.07.2024;303303592;204664867;20;7377,44;UZS
AAAL036382;03004233002010002;04.07.2024;303303592;305798435;2;7377,44;UZS
AAAL036383;03004233002010002;04.07.2024;303303592;305528912;25;7377,44;UZS
AAAL036384;03004233002010002;04.07.2024;303303592;307193665;200;7377,44;UZS
AAAL036385;03004233002010002;04.07.2024;303303592;305862016;30;7377,44;UZS
AAAL036386;03004233002010002;09.07.2024;303303592;202311570;10;7377,44;UZS
AAAL036387;03004233002010002;09.07.2024;303303592;307070074;20;7377,44;UZS
AAAL036388;03004233002010002;09.07.2024;303303592;309772212;20;7377,44;UZS
AAAL036389;03004233002010002;10.07.2024;303303592;300566205;10;7377,44;UZS
AAAL036390;03004233002010002;11.07.2024;303303592;305131119;30;7377,44;UZS
AAAL036391;03004233002010002;15.07.2024;303303592;307998232;120;7377,44;UZS
AAAL036392;03004233002010002;16.07.2024;303303592;200206876;10;7377,44;UZS
AAAL036393;03004233002010002;16.07.2024;303303592;309757055;20;7377,44;UZS
AAAL036394;03004233002010002;16.07.2024;303303592;309990124;100;7377,44;UZS
AAAL036395;03004233002010002;16.07.2024;303303592;302979608;10;7377,44;UZS
AAAL036396;03004233002010002;17.07.2024;303303592;300454012;100;7377,44;UZS
AAAL036397;03004233002010002;17.07.2024;303303592;306520915;10;7377,44;UZS
AAAL036398;03004233002010002;18.07.2024;303303592;301829635;20;7377,44;UZS
AAAL036399;03004233002010002;18.07.2024;303303592;309074843;100;7377,44;UZS
AAAL036400;03004233002010002;20.07.2024;303303592;305626481;5;7377,44;UZS
AAAL036401;03004233002010002;20.07.2024;303303592;307441134;20;7377,44;UZS
AAAL036402;03004233002010002;23.07.2024;303303592;206780169;20;7377,44;UZS
AAAL036403;03004233002010002;23.07.2024;303303592;203136882;20;7377,44;UZS
AAAL036404;03004233002010002;24.07.2024;303303592;307362430;10;7377,44;UZS
AAAL036405;03004233002010002;25.07.2024;303303592;205084891;10;7377,44;UZS
AAAL036406;03004233002010002;26.07.2024;303303592;302272791;10;7377,44;UZS
AAAL036407;03004233002010002;27.07.2024;303303592;302979608;15;7377,44;UZS
AAAL036408;03004233002010002;30.07.2024;303303592;309857137;48;7377,44;UZS
AAAL036409;03004233002010002;30.07.2024;303303592;310316580;20;7377,44;UZS
AAAL036410;03004233002010002;31.07.2024;303303592;304508304;20;7377,44;UZS
AAAL036411;03004233002010002;31.07.2024;303303592;307719221;10;7377,44;UZS
AAAL036412;03004233002010002;31.07.2024;303303592;310575807;10;7377,44;UZS
AAAL036413;03004233002010002;01.08.2024;303303592;306595545;10;7377,44;UZS
AAAL036414;03004233002010002;01.08.2024;303303592;309283963;3;7377,44;UZS
AAAL036415;03004233002010002;28.08.2024;303303592;201195456;10;7377,44;UZS
AAAL045102;03004084011004001;01.07.2024;303303592;201106913;4;100130,24;UZS
AAAL045103;03004084011004001;01.07.2024;303303592;301014226;5;100130,24;UZS
AAAL045104;03004084011004001;01.07.2024;303303592;310824384;2;100130,24;UZS
AAAL045105;03004084011004001;01.07.2024;303303592;309754352;3;100130,24;UZS
AAAL045106;03004084011004001;01.07.2024;303303592;201081203;2;100130,24;UZS
