ID UPAKOVKA;MXIK;DATA;INN DISTRIBUTOR;INN KONTRAGENT;KOL-VO;PRICE;PRICE TYPE
AAAE761701;03004907001001001;12.07.2024;306395984;206212399;2;72134,125;UZS
AAAE761702;03004907001001001;12.07.2024;306395984;303047911;6;71762,3;UZS
AAAE761703;03004907001001001;12.07.2024;306395984;308148157;10;74365,077;UZS
AAAE761704;03004907001001001;16.07.2024;306395984;203673231;4;74365,0775;UZS
AAAE761705;03004907001001001;16.07.2024;306395984;202524274;10;72134,124;UZS
AAAE761706;03004907001001001;18.07.2024;306395984;201094850;8;72134,125;UZS
AAAE761707;03004907001001001;19.07.2024;306395984;302744084;10;72134,124;UZS
AAAE761708;03004907001001001;19.07.2024;306395984;202496096;2;74391,99;UZS
AAAE761709;03004907001001001;19.07.2024;306395984;301682084;10;74365,077;UZS
AAAE761710;03004907001001001;22.07.2024;306395984;202189596;10;72134,124;UZS
AAAE761711;03004907001001001;24.07.2024;306395984;205869000;2;74365,075;UZS
AAAE761712;03004907001001001;25.07.2024;306395984;303474706;1;74391,99;UZS
AAAE761713;03004907001001001;30.07.2024;306395984;203341526;3;74365,07667;UZS
AAAE761714;03004907001001001;30.07.2024;306395984;202620037;3;74391,99;UZS
AAAE761715;03004907001001001;31.07.2024;306395984;205024094;20;69373,853;UZS
AAAE761716;03004907001001001;02.08.2024;306395984;310369509;2;71762,3;UZS
AAAE761717;03004907001001001;09.08.2024;306395984;206212399;2;72134,125;UZS
AAAE761718;03004907001001001;09.08.2024;306395984;303000875;2;74365,075;UZS
AAAE761719;03004907001001001;09.08.2024;306395984;204747367;4;74365,0775;UZS
AAAE761720;03004907001001001;10.08.2024;306395984;201094850;10;72134,124;UZS
AAAE761721;03004907001001001;13.08.2024;306395984;304176584;1;66525,87;UZS
AAAE761722;03004907001001001;16.08.2024;306395984;205370609;5;74391,99;UZS
AAAE761723;03004907001001001;22.08.2024;306395984;205869000;2;74365,075;UZS
AAAE761724;03004907001001001;23.08.2024;306395984;302414954;5;74365,076;UZS
AAAE761725;03004907001001001;28.08.2024;306395984;303404815;1;74365,08;UZS
AAAE761726;03004907001001001;29.08.2024;306395984;305398592;8;74365,07625;UZS
AAAE761727;03004907001001001;29.08.2024;306395984;305398592;14;74391,99071;UZS
AAAE761728;03004907001001001;30.08.2024;306395984;308046237;15;71762,29933;UZS
AAAE761729;03004907001001001;30.08.2024;306395984;309732578;10;72134,124;UZS
AAAE761730;03004907001001001;05.09.2024;306395984;302128669;6;74365,07667;UZS
AAAE761731;03004907001001001;06.09.2024;306395984;307559818;10;74365,077;UZS
AAAE761732;03004907001001001;07.09.2024;306395984;310075186;1;74365,08;UZS
AAAE761733;03004907001001001;07.09.2024;306395984;206515488;7;72877,77571;UZS
AAAE761734;03004907001001001;09.09.2024;306395984;205178569;2;74365,075;UZS
AAAE761735;03004907001001001;13.09.2024;306395984;303000875;4;74365,0775;UZS
AAAE761736;03004907001001001;26.09.2024;306395984;300059638;2;76118,065;UZS
AAAE761737;03004907001001001;28.09.2024;306395984;303126702;2;77671,495;UZS
AAAE761738;03004907001001001;30.09.2024;306395984;205759446;10;77671,496;UZS
AAAE761739;03004907001001001;03.10.2024;306395984;206599384;5;77671,496;UZS
AAAE761740;03004907001001001;05.10.2024;306395984;306569007;4;77671,495;UZS
AAAE761741;03004907001001001;08.10.2024;306395984;206515488;10;76118,066;UZS
AAAE761742;03004907001001001;08.10.2024;306395984;203290424;20;77671,496;UZS
AAAE761743;03004907001001001;08.10.2024;306395984;310149963;2;74952,995;UZS
AAAE761744;03004907001001001;09.10.2024;306395984;206164332;10;76118,066;UZS
AAAE761745;03004907001001001;11.10.2024;306395984;305420881;14;74952,99357;UZS
AAAE761746;03004907001001001;11.10.2024;306395984;305420881;1;74953;UZS
AAAE761747;03004907001001001;11.10.2024;306395984;301605051;1;77671,5;UZS
AAAE761748;03004907001001001;11.10.2024;306395984;201158739;1;77671,5;UZS
AAAE761749;03004907001001001;15.10.2024;306395984;204515125;2;77671,495;UZS
AAAE761750;03004907001001001;25.10.2024;306395984;205869000;1;77671,5;UZS
AAAE761751;03004907001001001;25.10.2024;306395984;310571495;2;77671,495;UZS
AAAE761752;03004907001001001;26.10.2024;306395984;307202304;5;77671,496;UZS
AAAE761753;03004907001001001;05.11.2024;306395984;206164332;10;76118,066;UZS
AAAE761754;03004907001001001;09.11.2024;306395984;302966125;5;77671,496;UZS
AAAE761755;03004907001001001;09.11.2024;306395984;200719640;1;77671,5;UZS
AAAE761756;03004907001001001;12.11.2024;306395984;207096456;3;77671,49667;UZS
AAAE761757;03004907001001001;13.11.2024;306395984;305398592;30;77671,496;UZS
AAAE761758;03004907001001001;14.11.2024;306395984;301856230;2;77671,495;UZS
AAAE761759;03004907001001001;15.11.2024;306395984;301552927;1;77671,5;UZS
AAAE761760;03004907001001001;16.11.2024;306395984;307520369;1;77671,5;UZS
AAAE761761;03004907001001001;16.11.2024;306395984;305211294;2;77671,495;UZS
AAAE761762;03004907001001001;21.11.2024;306395984;309696931;3;77671,49667;UZS
AAAE761763;03004907001001001;21.11.2024;306395984;300855074;3;77671,49667;UZS
AAAE761764;03004907001001001;22.11.2024;306395984;201094850;8;76118,06625;UZS
AAAE761765;03004907001001001;05.12.2024;306395984;302460828;2;77671,495;UZS
AAAE761766;03004907001001001;06.12.2024;306395984;305285092;10;77671,496;UZS
AAAE761767;03004907001001001;11.12.2024;306395984;306587340;1;77127,37;UZS
AAAE761768;03004907001001001;11.12.2024;306395984;302630006;2;77127,365;UZS
AAAE761769;03004907001001001;12.12.2024;306395984;203341526;2;77127,365;UZS
AAAE761770;03004907001001001;12.12.2024;306395984;301638177;3;77127,36667;UZS
AAAE761771;03004907001001001;17.12.2024;306395984;310149963;4;74427,91;UZS
AAAE761772;03004907001001001;17.12.2024;306395984;206164332;10;76118,066;UZS
AAAE761773;03004907001001001;26.12.2024;306395984;300811217;1;77127,37;UZS
AAAE761774;03004907001001001;27.12.2024;306395984;200204658;2;77127,365;UZS
AAAE761775;03004270003006001;08.01.2024;306395984;300855074;4;96318,17;UZS
AAAE761776;03004270003006001;09.01.2024;306395984;309073038;10;92947,034;UZS
AAAE761777;03004270003006001;09.01.2024;306395984;307650967;1;94391,81;UZS
AAAE761778;03004270003006001;09.01.2024;306395984;202502547;3;92947,03333;UZS
AAAE761779;03004270003006001;10.01.2024;306395984;310248444;1;96318,17;UZS
AAAE761780;03004270003006001;10.01.2024;306395984;303773555;89;92947,03404;UZS
AAAE761781;03004270003006001;10.01.2024;306395984;303773555;66;92947,03409;UZS
AAAE761782;03004270003006001;11.01.2024;306395984;305660892;10;92947,034;UZS
AAAE761783;03004270003006001;06.02.2024;306395984;306615344;2;103419,9;UZS
AAAE761784;03004270003006001;06.02.2024;306395984;302588460;1;103419,9;UZS
AAAE761785;03004270003006001;07.02.2024;306395984;310138620;2;103419,9;UZS
AAAE761786;03004270003006001;09.02.2024;306395984;310766552;2;103419,9;UZS
AAAE761787;03004270003006001;09.02.2024;306395984;310138620;10;103419,9;UZS
AAAE761788;03004270003006001;09.02.2024;306395984;302735744;5;99800,204;UZS
AAAE761789;03004270003006001;12.02.2024;306395984;301089473;3;103419,9;UZS
AAAE761790;03004270003006001;12.02.2024;306395984;203290424;5;103419,9;UZS
AAAE761791;03004270003006001;13.02.2024;306395984;306297425;2;103419,9;UZS
AAAE761792;03004270003006001;14.02.2024;306395984;204515125;2;103419,9;UZS
AAAE761793;03004270003006001;14.02.2024;306395984;303443919;5;103419,9;UZS
AAAE761794;03004270003006001;15.02.2024;306395984;309550758;5;103419,9;UZS
AAAE761795;03004270003006001;16.02.2024;306395984;203654151;1;103419,9;UZS
AAAE761796;03004270003006001;16.02.2024;306395984;203336490;10;103419,9;UZS
AAAE761797;03004270003006001;19.02.2024;306395984;302630006;5;103419,9;UZS
AAAE761798;03004270003006001;19.02.2024;306395984;300077078;2;103419,9;UZS
AAAE761799;03004270003006001;22.02.2024;306395984;306892184;10;103419,9;UZS
AAAE761800;03004270003006001;22.02.2024;306395984;306297425;5;103419,9;UZS
AAAE761801;03004270003006001;24.02.2024;306395984;302822375;2;103419,9;UZS
AAAE761802;03004270003006001;24.02.2024;306395984;200692392;2;103419,9;UZS
AAAE761803;03004270003006001;27.02.2024;306395984;305776067;2;103419,9;UZS
AAAE761804;03004270003006001;27.02.2024;306395984;310138620;20;103419,9;UZS
AAAE761805;03004270003006001;28.02.2024;306395984;200719640;1;103419,9;UZS
AAAE761806;03004270003006001;28.02.2024;306395984;306389057;4;103419,9;UZS
AAAE761807;03004270003006001;29.02.2024;306395984;206932603;5;103419,9;UZS
AAAE761808;03004270003006001;29.02.2024;306395984;201854355;2;103419,9;UZS
AAAE761809;03004270003006001;29.02.2024;306395984;304176584;6;96490,77;UZS
AAAE761810;03004270003006001;02.03.2024;306395984;304289720;2;103419,9;UZS
AAAE761811;03004270003006001;02.03.2024;306395984;203797909;5;99800,204;UZS
AAAE761812;03004270003006001;05.03.2024;306395984;306880999;2;99800,205;UZS
AAAE761813;03004270003006001;06.03.2024;306395984;203336490;10;103419,9;UZS
AAAE761814;03004270003006001;12.03.2024;306395984;200425461;2;103419,9;UZS
AAAE761815;03004270003006001;14.03.2024;306395984;206515488;5;103419,9;UZS
AAAE761816;03004270003006001;15.03.2024;306395984;307483312;10;99800,204;UZS
AAAE761817;03004270003006001;16.03.2024;306395984;203797909;4;99800,2025;UZS
AAAE761818;03004270003006001;16.03.2024;306395984;205709064;5;103419,9;UZS
AAAE761819;03004270003006001;16.03.2024;306395984;310425138;2;103419,9;UZS
AAAE761820;03004270003006001;20.03.2024;306395984;300059874;3;103419,9;UZS
AAAE761821;03004270003006001;20.03.2024;306395984;310766552;3;103419,9;UZS
AAAE761822;03004270003006001;20.03.2024;306395984;304176584;10;92457,09;UZS
AAAE761823;03004270003006001;25.03.2024;306395984;303443919;5;103419,9;UZS
AAAE761824;03004270003006001;26.03.2024;306395984;201158739;1;103419,9;UZS
AAAE761825;03004270003006001;27.03.2024;306395984;302180930;1;103419,9;UZS
AAAE761826;03004270003006001;28.03.2024;306395984;205634863;2;103419,9;UZS
AAAE761827;03004270003006001;29.03.2024;306395984;308665306;2;103419,9;UZS
AAAE761828;03004270003006001;30.03.2024;306395984;307483312;20;99800,2035;UZS
AAAE761829;03004270003006001;30.03.2024;306395984;302822375;1;103419,9;UZS
