ID UPAKOVKA;MXIK;DATA;INN DISTRIBUTOR;INN KONTRAGENT;KOL-VO;PRICE;PRICE TYPE
AAAD845417;03004180001042002;11.11.2024;305092437;200465151;100;6322;UZS
AAAD845418;03004180001042002;24.09.2024;305092437;200626955;100;6322;UZS
AAAD845419;03004308001006004;05.09.2024;305092437;202035029;500;3190;UZS
AAAD845420;03004103001008001;15.10.2024;305092437;201007918;50;140747;UZS
AAAD845421;03004077001029002;31.10.2024;305092437;200765009;2000;5350;UZS
AAAD845422;03004077001029002;11.11.2024;305092437;200555428;1000;5280;UZS
AAAD845423;03004077001029002;11.11.2024;305092437;201989187;500;5200;UZS
AAAD845424;03004322008157001;22.10.2024;305092437;200490114;355;6257;UZS
AAAD845425;03004032001008001;11.09.2024;305092437;201122704;200;5140;UZS
AAAD845426;03004174004037012;13.03.2024;305092437;200021016;150;8050;UZS
AAAD845427;03004083001002008;15.10.2024;305092437;201833096;380;3400;UZS
AAAD845428;03004083001004001;28.10.2024;305092437;203797702;2000;1427;UZS
AAAD845429;03004312003018001;11.10.2024;305092437;202817114;1000;3330;UZS
AAAD845430;03004312003011001;28.10.2024;305092437;202334645;500;3330;UZS
AAAD845431;03004314003053005;21.09.2024;305092437;203844169;200;3730;UZS
AAAD845432;03004314003048001;26.08.2024;305092437;207267234;400;3422;UZS
AAAD845433;03004314003048001;29.08.2024;305092437;207267234;302;3422;UZS
AAAD845434;03004314003048001;04.10.2024;305092437;200752673;2000;3320;UZS
AAAD845435;03004314003048001;08.10.2024;305092437;200490114;1000;3320;UZS
AAAD845436;03004314003048001;10.10.2024;305092437;200118029;2000;3320;UZS
AAAD845437;03004314003048001;10.10.2024;305092437;201970204;1000;3320;UZS
AAAD845438;03004314003048001;28.10.2024;305092437;201989155;250;33200;UZS
AAAD845439;03004414006005001;22.10.2024;305092437;201989052;50;190890;UZS
AAAD845440;03004098001049002;18.12.2024;305092437;200666867;50;113200;UZS
AAAD845441;03004118004001001;22.10.2024;305092437;200626955;2800;9170;UZS
AAAD845442;03004614001029001;26.12.2024;305092437;200748717;300;50922;UZS
AAAD845443;03004314009087002;15.10.2024;305092437;200555428;200;12300;UZS
AAAD845444;03004314009087002;11.11.2024;305092437;200555428;200;12220;UZS
AAAD845445;03004900027001001;05.09.2024;305092437;200794416;200;54405;UZS
AAAD845446;03004030039002001;19.09.2024;305092437;202035075;50;63900;UZS
AAAD845447;03004119001004002;02.10.2024;305092437;200688468;100;12000;UZS
AAAD845448;03004118001010002;15.11.2024;305092437;200541191;600;6600;UZS
AAAD845449;03004061008010002;19.09.2024;305092437;206943225;50;177775;UZS
AAAD845450;03004292002002003;11.12.2024;305092437;203848369;50;107000;UZS
AAAD845451;03004118004011001;13.11.2024;305092437;202155924;400;11340;UZS
AAAD845452;03004900027001001;20.09.2024;305092437;200540486;60;56015;UZS
AAAD845453;03004074012001001;11.12.2024;305092437;200372925;100;12000;UZS
AAAD845454;03004066003007001;28.10.2024;305092437;201992612;200;52626;UZS
AAAD845455;03004630001004002;02.10.2024;305092437;203848369;35;122330;UZS
AAAD845456;03004630001004001;02.10.2024;305092437;203848369;25;190055;UZS
AAAD845457;03004297002042001;29.08.2024;305092437;200030986;350;6850;UZS
AAAD845458;03004200025002001;18.10.2024;305092437;203449137;30;8064;UZS
AAAD845459;03004200025002001;22.10.2024;305092437;200010994;100;6940;UZS
AAAD845460;03004297002037001;11.11.2024;305092437;200555428;200;6580;UZS
AAAD845461;03004589004002001;26.08.2024;305092437;201250704;150;52990;UZS
AAAD845462;03004122003016006;13.03.2024;305092437;200021016;101;11397;UZS
AAAD845463;03004122003023002;30.08.2024;305092437;200490114;500;5200;UZS
AAAD845464;03004122003023002;13.09.2024;305092437;200478064;900;5365;UZS
AAAD845465;03004122003023001;11.10.2024;305092437;201989187;288;5000;UZS
AAAD845466;03004122003023009;15.10.2024;305092437;200555428;200;4560;UZS
AAAD845467;03004122003008008;13.11.2024;305092437;202817114;1000;3700;UZS
AAAD845468;03004409002006004;08.10.2024;305092437;200490114;100;5500;UZS
AAAD845469;03004409002006004;11.10.2024;305092437;200736810;300;5120;UZS
AAAD845470;03004409002076003;15.10.2024;305092437;200555428;200;5600;UZS
AAAD845471;03004409002006004;18.10.2024;305092437;200736810;200;5120;UZS
AAAD845472;03004559001022001;15.11.2024;305092437;201113224;1211;3805;UZS
AAAD845473;03004017002043002;24.09.2024;305092437;200688468;100;8900;UZS
AAAD845474;03004017002030004;02.10.2024;305092437;200010053;300;9000;UZS
AAAD845475;03004017002030004;02.10.2024;305092437;202263236;50;8100;UZS
AAAD845476;03004630003005002;29.08.2024;305092437;200666749;50;123000;UZS
AAAD845477;03004630003005003;29.08.2024;305092437;200666749;50;235000;UZS
AAAD845478;03004630003005003;05.09.2024;305092437;201842039;50;145000;UZS
AAAD845479;03004630006001002;01.10.2024;305092437;201970196;50;132000;UZS
AAAD845480;03004630006001002;08.10.2024;305092437;200765009;30;136382;UZS
AAAD845481;03004630003005003;20.12.2024;305092437;200666867;30;131193;UZS
AAAD845482;03004184002019004;08.10.2024;305092437;200490114;200;2447;UZS
AAAD845483;03004012005007001;26.12.2024;305092437;201970196;500;78000;UZS
AAAD845484;03004343002004001;27.08.2024;305092437;201504434;100;30600;UZS
AAAD845485;03004343002004001;05.09.2024;305092437;200708647;200;58570;UZS
AAAD845486;03004343002004001;06.09.2024;305092437;200328391;150;30000;UZS
AAAD845487;03004343002004001;17.09.2024;305092437;202035075;90;61165;UZS
AAAD845488;03004349011004002;28.10.2024;305092437;201122879;50;62000;UZS
AAAD845489;03004301003001001;28.10.2024;305092437;200490114;50;62000;UZS
AAAD845490;03004343002004001;31.10.2024;305092437;200460104;130;60625;UZS
AAAD845491;03004110002077001;26.12.2024;305092437;201951489;216;357000;UZS
AAAD845492;03004337001127001;22.10.2024;305092437;201007918;300;7145;UZS
AAAD845493;03004060008018007;21.12.2024;305092437;201214240;50;24640;UZS
AAAD845494;03004060007007005;21.12.2024;305092437;201214240;30;32200;UZS
AAAD845495;03004060008018011;21.12.2024;305092437;201214240;50;34104;UZS
AAAD845496;03004060007018002;21.12.2024;305092437;201214240;50;77777;UZS
AAAD845497;03004060007017001;21.12.2024;305092437;201214240;50;72930;UZS
AAAD845498;03004411001045002;08.10.2024;305092437;200490114;100;8200;UZS
AAAD845499;03004141021007010;11.11.2024;305092437;201007901;1000;4900;UZS
AAAD845500;03004141021007010;11.11.2024;305092437;201007901;1000;4900;UZS
AAAD845501;03004055001003001;21.12.2024;305092437;201214240;24;33000;UZS
AAAD845502;03004503006005002;22.10.2024;305092437;200845880;26;153003;UZS
AAAD845503;03004341001004016;26.08.2024;305092437;200457913;50;37600;UZS
AAAD845504;03004341001004016;05.09.2024;305092437;200708647;200;36055;UZS
AAAD845505;03004341001004016;31.10.2024;305092437;200460104;210;37632;UZS
AAAD845506;03004298001014004;06.01.2024;305092437;306415744;4;24472;UZS
AAAD845507;03004298001014004;08.01.2024;305092437;303758042;2;24472;UZS
AAAD845508;03004298001014004;10.01.2024;305092437;310777998;5;24472;UZS
AAAD845509;03004298001014004;12.01.2024;305092437;200777870;3;24472;UZS
AAAD845510;03004298001014004;16.01.2024;305092437;309604198;2;24472;UZS
AAAD845511;03004298001014004;17.01.2024;305092437;200719640;1;24472;UZS
AAAD845512;03004298001014004;18.01.2024;305092437;305760261;5;24472;UZS
AAAD845513;03004298001014004;23.01.2024;305092437;303265103;1;24472;UZS
AAAD845514;03004298001014004;24.01.2024;305092437;200719640;2;24472;UZS
AAAD845515;03004298001014004;25.01.2024;305092437;202559412;10;24472;UZS
AAAD845516;03004298001014004;27.01.2024;305092437;306587340;3;24472;UZS
AAAD845517;03004298001014004;30.01.2024;305092437;303246291;10;24472;UZS
AAAD845518;03004298001014004;02.02.2024;305092437;307668491;1;24472;UZS
AAAD845519;03004298001014004;10.02.2024;305092437;304899509;2;24472;UZS
AAAD845520;03004298001014004;12.02.2024;305092437;306930112;4;24472;UZS
AAAD845521;03004298001014004;13.02.2024;305092437;308913645;120;23713,18;UZS
AAAD845522;03004298001014004;16.02.2024;305092437;303350837;5;23493,12;UZS
AAAD845523;03004298001014004;17.02.2024;305092437;202358171;3;24472;UZS
AAAD845524;03004298001014004;26.02.2024;305092437;310018224;1;24472;UZS
AAAD845525;03004298001014004;05.03.2024;305092437;301244953;2;21756,29;UZS
AAAD845526;03004298001014004;07.03.2024;305092437;201390429;3;24472;UZS
AAAD845527;03004298001014004;09.03.2024;305092437;307970062;4;24472;UZS
AAAD845528;03004298001014004;14.03.2024;305092437;307977274;4;24472;UZS
AAAD845529;03004298001014004;15.03.2024;305092437;310410727;10;24472;UZS
AAAD845530;03004298001014004;18.03.2024;305092437;300510361;4;24472;UZS
AAAD845531;03004298001014004;26.03.2024;305092437;310297757;120;23713,18;UZS
AAAD845532;03004298001014004;27.03.2024;305092437;202512874;5;24472;UZS
AAAD845533;03004298001014004;28.03.2024;305092437;303845726;30;24472;UZS
AAAD845534;03004298001014004;29.03.2024;305092437;310484667;5;24472;UZS
AAAD845535;03004298001014004;30.03.2024;305092437;201390429;3;24472;UZS
AAAD845536;03004298001014004;08.04.2024;305092437;303350837;5;27408,002;UZS
AAAD845537;03004298001014004;09.04.2024;305092437;305223969;4;27408,0025;UZS
