ID UPAKOVKA;MXIK;DATA;INN DISTRIBUTOR;INN KONTRAGENT;KOL-VO;PRICE;PRICE TYPE
AAAK964306;03004199024001003;10.07.2024;303303592;301492037;2;82510,4;UZS
AAAK964307;03004199024001003;10.07.2024;303303592;309833000;1;83422,08;UZS
AAAK964308;03004199024001003;10.07.2024;303303592;305626481;2;83422,08;UZS
AAAK964309;03004199024001003;10.07.2024;303303592;202838627;2;83422,08;UZS
AAAK964310;03004199024001003;10.07.2024;303303592;207076267;1;82510,4;UZS
AAAK964311;03004199024001003;10.07.2024;303303592;200069295;3;82510,4;UZS
AAAK964312;03004199024001003;10.07.2024;303303592;203007314;2;83422,08;UZS
AAAK964313;03004199024001003;10.07.2024;303303592;302703705;5;82510,4;UZS
AAAK964314;03004199024001003;10.07.2024;303303592;309535514;2;82510,4;UZS
AAAK964315;03004199024001003;10.07.2024;303303592;309944685;1;83422,08;UZS
AAAK964316;03004199024001003;10.07.2024;303303592;308834514;1;83422,08;UZS
AAAK964317;03004199024001003;10.07.2024;303303592;203167472;1;83422,08;UZS
AAAK964318;03004199024001003;10.07.2024;303303592;305054127;2;82510,4;UZS
AAAK964319;03004199024001003;11.07.2024;303303592;302486271;3;82510,4;UZS
AAAK964320;03004199024001003;11.07.2024;303303592;309350531;1;82510,4;UZS
AAAK964321;03004199024001003;11.07.2024;303303592;301789694;2;82510,4;UZS
AAAK964322;03004199024001003;11.07.2024;303303592;304791826;2;82510,4;UZS
AAAK964323;03004199024001003;11.07.2024;303303592;301151999;1;83422,08;UZS
AAAK964324;03004199024001003;11.07.2024;303303592;306992985;2;82510,4;UZS
AAAK964325;03004199024001003;11.07.2024;303303592;306815934;2;82510,4;UZS
AAAK964326;03004199024001003;11.07.2024;303303592;308783714;2;82510,4;UZS
AAAK964327;03004199024001003;11.07.2024;303303592;310013570;1;83422,08;UZS
AAAK964328;03004199024001003;11.07.2024;303303592;301563913;10;83422,08;UZS
AAAK964329;03004199024001003;11.07.2024;303303592;201044209;2;82510,4;UZS
