ID UPAKOVKA;MXIK;DATA;INN DISTRIBUTOR;INN KONTRAGENT;KOL-VO;PRICE;PRICE TYPE
AAAM164215;03004186004004004;20.08.2024;303303592;205816177;1;123870,88;UZS
AAAM164216;03004186004004004;20.08.2024;303303592;310839714;4;120154,72;UZS
AAAM164217;03004186004004004;20.08.2024;303303592;305857338;1;123870,88;UZS
AAAM164218;03004186004004004;20.08.2024;303303592;204707749;1;120154,72;UZS
AAAM164219;03004186004004004;20.08.2024;303303592;309484579;1;123870,88;UZS
AAAM164220;03004186004004004;20.08.2024;303303592;203013893;3;123870,88;UZS
AAAM164221;03004186004004004;20.08.2024;303303592;307893689;2;123870,88;UZS
AAAM164222;03004186004004004;20.08.2024;303303592;307550276;1;123870,88;UZS
AAAM164223;03004186004004004;20.08.2024;303303592;205126656;2;123870,88;UZS
AAAM164224;03004186004004004;20.08.2024;303303592;306387313;1;123870,88;UZS
AAAM164225;03004186004004004;20.08.2024;303303592;304611067;2;120154,72;UZS
AAAM164226;03004186004004004;21.08.2024;303303592;305492857;1;123870,88;UZS
AAAM164227;03004186004004004;21.08.2024;303303592;306117133;2;123870,88;UZS
AAAM164228;03004186004004004;21.08.2024;303303592;300147654;12;123870,88;UZS
AAAM164229;03004186004004004;21.08.2024;303303592;302702176;2;123870,88;UZS
AAAM164230;03004186004004004;21.08.2024;303303592;301901831;1;123870,88;UZS
AAAM164231;03004186004004004;21.08.2024;303303592;207091843;2;123870,88;UZS
AAAM164232;03004186004004004;21.08.2024;303303592;310925805;1;123870,88;UZS
AAAM164233;03004186004004004;21.08.2024;303303592;309792188;1;123870,88;UZS
AAAM164234;03004186004004004;21.08.2024;303303592;311236300;2;123870,88;UZS
AAAM164235;03004186004004004;21.08.2024;303303592;202524274;1;123870,88;UZS
AAAM164236;03004186004004004;21.08.2024;303303592;205084891;1;123870,88;UZS
AAAM164237;03004186004004004;21.08.2024;303303592;305100608;1;123870,88;UZS
AAAM164238;03004186004004004;21.08.2024;303303592;308012896;1;123870,88;UZS
AAAM164239;03004186004004004;22.08.2024;303303592;307739933;1;123870,88;UZS
AAAM164240;03004186004004004;22.08.2024;303303592;303469039;1;123870,88;UZS
AAAM164241;03004186004004004;22.08.2024;303303592;301072646;2;123870,88;UZS
