ID UPAKOVKA;MXIK;DATA;INN DISTRIBUTOR;INN KONTRAGENT;KOL-VO;PRICE;PRICE TYPE
AAAD334001;03004496005004002;11.10.2024;309159499;308045910;1;100085,44;UZS
AAAD334002;03004496005004002;16.10.2024;309159499;302384502;5;102117,12;UZS
AAAD334003;03004496005004002;21.10.2024;309159499;308045910;4;100085,44;UZS
AAAD334004;03004496005004002;22.10.2024;309159499;303176332;5;102117,12;UZS
AAAD334005;03004496005004002;24.10.2024;309159499;303020241;10;102117,12;UZS
AAAD334006;03004496005004002;06.11.2024;309159499;305047260;1;102117,12;UZS
AAAD334007;03004496005004002;07.11.2024;309159499;305747933;5;102117,12;UZS
AAAD334008;03004496005004002;12.11.2024;309159499;305220220;5;102117,12;UZS
AAAD334009;03004496005004002;12.11.2024;309159499;206097029;3;102117,12;UZS
AAAD334010;03004496005004002;12.11.2024;309159499;300486320;5;102117,12;UZS
AAAD334011;03004496005004002;18.11.2024;309159499;205732195;2;100085,44;UZS
AAAD334012;03004496005004002;21.11.2024;309159499;207189918;3;102117,12;UZS
AAAD334013;03004496005004002;23.11.2024;309159499;301444507;3;100085,44;UZS
AAAD334014;03004496005004002;26.11.2024;309159499;310810893;1;102117,12;UZS
AAAD334015;03004496005004002;29.11.2024;309159499;310451859;4;102117,12;UZS
AAAD334016;03004496005004002;16.12.2024;309159499;309431612;5;99362,492;UZS
AAAD334017;03004496005004002;16.12.2024;309159499;305220220;4;99362,49;UZS
AAAD334018;03004496005004002;16.12.2024;309159499;309431612;2;99365,2;UZS
AAAD334019;03004496005004002;17.12.2024;309159499;306429662;10;99362,491;UZS
AAAD334020;03004496005004002;25.12.2024;309159499;308456691;1;99362,49;UZS
AAAD334021;03004496005004003;05.03.2024;309159499;308045910;5;157636;UZS
AAAD334022;03004496005004003;05.03.2024;309159499;308801452;10;157636;UZS
AAAD334023;03004496005004003;06.03.2024;309159499;308959840;2;157636;UZS
AAAD334024;03004496005004003;06.03.2024;309159499;305168087;2;157636;UZS
AAAD334025;03004496005004003;06.03.2024;309159499;305034752;30;154514;UZS
AAAD334026;03004496005004003;07.03.2024;309159499;305590047;11;154514;UZS
AAAD334027;03004496005004003;11.03.2024;309159499;306784397;10;154514;UZS
AAAD334028;03004496005004003;11.03.2024;309159499;310890684;2;157636;UZS
