ID UPAKOVKA;MXIK;DATA;INN DISTRIBUTOR;INN KONTRAGENT;KOL-VO;PRICE;PRICE TYPE
AAAD596850;03004326004002003;18.09.2024;309159499;303176332;4;60982,88;UZS
AAAD596851;03004326004002003;20.09.2024;309159499;303176332;10;60982,88;UZS
AAAD596852;03004326004002003;09.10.2024;309159499;305066372;10;60982,88;UZS
AAAD596853;03004326004002003;10.10.2024;309159499;205805720;5;60982,88;UZS
AAAD596854;03004326004002003;11.10.2024;309159499;308045910;3;59769,92;UZS
AAAD596855;03004326004002003;11.10.2024;309159499;303176332;2;60982,88;UZS
AAAD596856;03004326004002003;14.10.2024;309159499;300147654;5;60982,88;UZS
AAAD596857;03004326004002003;14.10.2024;309159499;302203228;2;60982,88;UZS
AAAD596858;03004326004002003;14.10.2024;309159499;305077145;4;60982,88;UZS
AAAD596859;03004326004002003;14.10.2024;309159499;303176332;2;60982,88;UZS
AAAD596860;03004326004002003;18.10.2024;309159499;302858963;4;60982,88;UZS
AAAD596861;03004326004002003;22.10.2024;309159499;303176332;2;60982,88;UZS
AAAD596862;03004326004002003;24.10.2024;309159499;302476481;3;60982,88;UZS
AAAD596863;03004326004002003;25.10.2024;309159499;304226799;2;60373,6;UZS
AAAD596864;03004326004002003;29.10.2024;309159499;304461018;4;60982,88;UZS
AAAD596865;03004012002040001;02.03.2024;309159499;308045910;2;46886;UZS
AAAD596866;03004012002040001;04.03.2024;309159499;308491563;5;46886;UZS
AAAD596867;03004012002040001;04.03.2024;309159499;307789792;5;46886;UZS
AAAD596868;03004012002040001;05.03.2024;309159499;310890684;10;46886;UZS
AAAD596869;03004012002040001;05.03.2024;309159499;309198245;15;46886;UZS
AAAD596870;03004012002040001;05.03.2024;309159499;310451859;3;48140;UZS
AAAD596871;03004012002040001;05.03.2024;309159499;307573912;10;46886;UZS
AAAD596872;03004012002040001;05.03.2024;309159499;305034752;50;46886;UZS
AAAD596873;03004012002040001;06.03.2024;309159499;305303876;4;46886;UZS
AAAD596874;03004012002040001;06.03.2024;309159499;305168087;5;46886;UZS
AAAD596875;03004012002040001;06.03.2024;309159499;309833784;20;46886;UZS
AAAD596876;03004012002040001;06.03.2024;309159499;301444507;20;46886;UZS
AAAD596877;03004012002040001;11.03.2024;309159499;305303876;1;46886;UZS
AAAD596878;03004012002040001;18.03.2024;309159499;309565002;10;46887;UZS
AAAD596879;03004012002040001;18.03.2024;309159499;302493858;10;48294;UZS
AAAD596880;03004012002040001;18.03.2024;309159499;310925805;5;46887;UZS
AAAD596881;03004012002040001;22.03.2024;309159499;301017103;10;46887;UZS
AAAD596882;03004012002040001;02.04.2024;309159499;309642904;2;52513,44;UZS
AAAD596883;03004012002040001;03.04.2024;309159499;308045910;7;52513,44;UZS
AAAD596884;03004012002040001;05.04.2024;309159499;309431612;5;52513,44;UZS
AAAD596885;03004012002040001;08.04.2024;309159499;302984318;6;52513,44;UZS
AAAD596886;03004012002040001;08.04.2024;309159499;308763310;5;52513,44;UZS
AAAD596887;03004012002040001;08.04.2024;309159499;305861413;5;52513,44;UZS
AAAD596888;03004012002040001;09.04.2024;309159499;310890684;10;52513,44;UZS
AAAD596889;03004012002040001;12.04.2024;309159499;206988937;50;52513,44;UZS
AAAD596890;03004012002040001;13.04.2024;309159499;305901994;20;52513,44;UZS
AAAD596891;03004012002040001;13.04.2024;309159499;308869960;10;52513,44;UZS
AAAD596892;03004012002040001;16.04.2024;309159499;306127975;10;52513,44;UZS
AAAD596893;03004012002040001;14.05.2024;309159499;303474817;20;55567,68;UZS
AAAD596894;03004012002040001;20.05.2024;309159499;311158374;15;56689,92;UZS
AAAD596895;03004012002040001;24.05.2024;309159499;304226799;6;56128,8;UZS
AAAD596896;03004012002040001;28.05.2024;309159499;305228050;10;56689,92;UZS
AAAD596897;03004012002040001;28.05.2024;309159499;304976490;10;56689,92;UZS
AAAD596898;03004012002040001;29.05.2024;309159499;301017103;10;56689,92;UZS
AAAD596899;03004012002040001;31.05.2024;309159499;308043827;5;56689,92;UZS
AAAD596900;03004012002040001;31.05.2024;309159499;303102914;6;56689,92;UZS
AAAD596901;03004012002040001;19.06.2024;309159499;310687097;5;56689,92;UZS
AAAD596902;03004012002040001;20.06.2024;309159499;303319263;6;56689,92;UZS
AAAD596903;03004012002040001;25.06.2024;309159499;207129784;6;56689,92;UZS
AAAD596904;03004012002040001;25.06.2024;309159499;309679176;5;56689,92;UZS
AAAD596905;03004012002040001;25.06.2024;309159499;305168087;5;56689,92;UZS
AAAD596906;03004012002040001;03.07.2024;309159499;305096770;5;56689,92;UZS
AAAD596907;03004012002040001;03.07.2024;309159499;305034752;30;56689,92;UZS
AAAD596908;03004012002040001;04.07.2024;309159499;306127975;5;56689,92;UZS
AAAD596909;03004012002040001;08.07.2024;309159499;308869960;10;56689,92;UZS
